,category,labels_dbscan,labels_kmeans,labels_agglo,processed_t0,processed_t1,t0,t1,assumptions
0,0,-1,1,2,\left| \begin{array}{cc}x + 7& 7\\2& 4\end{array} \right| = -4,"4\,(x + 7) + 2 \cdot 7 = -4",\left| \begin{array}{cc}a + 7& 7\\2& 4\end{array} \right| = -4,"4\,(a + 7) + 2 \cdot 7 = -4",\textrm{wahr}
1,1,-1,4,6,"(2\,x + 4)\,(2\,x-4)","4\,x-16","(2\,x + 4)\,(2\,x-4)","4\,x-16",\textrm{wahr}
2,1,-1,1,1,"(3\,y-4\,x)\,(3\,y + 4\,x)","9\,y^{2}-16\,x","(3\,n-4\,k)\,(3\,n + 4\,k)","9\,n^{2}-16\,k",\textrm{wahr}
3,1,-1,1,1,"-4\,y\,x + \frac{4\,x^{2}}{x^{2}-y\,x}","\frac{4\,(x^{2}-y\,x)}{x^{2}-y\,x}","-4\,l\,b + \frac{4\,b^{2}}{b^{2}-l\,b}","\frac{4\,(b^{2}-l\,b)}{b^{2}-l\,b}",\textrm{wahr}
4,1,-1,1,1,"-\frac{4\,y\,x}{x^{2}-y\,x} + \frac{4\,x^{2}}{x^{2}-y\,x}","-4\,y\,x + \frac{4\,x^{2}}{x^{2}-y\,x}","-\frac{4\,l\,b}{b^{2}-l\,b} + \frac{4\,b^{2}}{b^{2}-l\,b}","-4\,l\,b + \frac{4\,b^{2}}{b^{2}-l\,b}",\textrm{wahr}
5,1,-1,3,1,"\frac{\frac{\left( y + x\right)^{2}}{y-x}-(y-x)}{2\,x}","\frac{\frac{\left( y + x\right)^{2}-2\,(y-x)}{y-x}}{2\,x}","\frac{\frac{\left( u + g\right)^{2}}{u-g}-(u-g)}{2\,g}","\frac{\frac{\left( u + g\right)^{2}-2\,(u-g)}{u-g}}{2\,g}",\textrm{wahr}
6,1,-1,3,1,"\frac{\frac{\left( y + x\right)^{2}-\left( y-x\right)^{2}}{y-x}}{2\,x}","\frac{\left( y + x\right)^{2}-2\,(y-x)}{2\,x\,(y-x)}","\frac{\frac{\left( u + g\right)^{2}-\left( u-g\right)^{2}}{u-g}}{2\,g}","\frac{\left( u + g\right)^{2}-2\,(u-g)}{2\,g\,(u-g)}",\textrm{wahr}
7,1,-1,3,1,"\frac{\left( y + x\right)^{2}-\left( y-x\right)^{2}}{2\,x\,(y-x)}","\frac{y^{2} + 2\,x\,y + x^{2}-2\,y + 2\,x}{2\,x\,y-2\,x^{2}}","\frac{\left( u + g\right)^{2}-\left( u-g\right)^{2}}{2\,g\,(u-g)}","\frac{u^{2} + 2\,g\,u + g^{2}-2\,u + 2\,g}{2\,g\,u-2\,g^{2}}",\textrm{wahr}
8,2,-1,1,1,"z\,(x-z) = x + z","z\,m-x\,m = m + m","q\,(h-y) = h + y","q\,h-g\,y = h + y",\left( h\neq y\right) \wedge \left( q\neq 1\right)
9,2,-1,1,1,"-z\,z-z = x\,(1-z)","-z\,z-\frac{z}{1-z} = x","-q\,y-y = h\,(1-q)","-q\,y-\frac{y}{1-q} = h",\left( h\neq y\right) \wedge \left( q\neq 1\right)
