category,assumptions,t0,t1
2,\textrm{wahr},"1 \cdot 1 \cdot 1 \cdot 1\,\frac{1\, |\, 1 \cdot 2 \cdot 3}{1 \cdot 2 \cdot 3 \cdot 4}","p{\left(x\right)} = (x + 1)\,(x^{2} + 2\,x + 3) + 4"
1,\textrm{wahr},"\left( \frac{5\,n\,(n + 1)}{2}\right)_{-\frac{6\,n}{2}}\,n","\frac{5\,n\,(n + 1)-6\,n}{2}"
1,\textrm{wahr},"5\,\frac{n\,(n + 1)}{2}-3\,n","\left( \frac{5\,n\,(n + 1)}{2}\right)_{-\frac{6\,n}{2}}\,n"
1,n > 2,"\sum_{ k = 2}^{n}\left(2\,k-3\right)","2\,\sum_{ k = 2}^{n + 1}k-1-\sum_{ k = 2}^{n + 1}3"
1,n > 2,"2\,\sum_{ k = 2}^{n + 1}k-1-\sum_{ k = 2}^{n + 1}3","2\,\frac{n\,(n + 1)}{2} + 1-n \cdot 4"
1,n > 2,"\sum_{ k = 2}^{n}\left(2\,k-3\right)","2\,\sum_{ k = 2}^{n + 1}k-\sum_{ k = 2}^{n + 1}4"
1,\textrm{wahr},"\frac{-4\,n\,(n + 1)}{2}-\frac{10\,n}{2}","\frac{-4\,n\,(n + 1)-10}{2}"
2,\textrm{wahr},y\ge -17,"w = \left[-17,\infty \right)"
1,n > 3,"\frac{2\,(n-2)\,(n-2 + 1)}{2} + 6\,(n-2)","\frac{2\,n-4\,(n-2 + 1) + 12\,n + 48}{2}"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq -2\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),"-1\,y\le 1",y\le -1
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq -2\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),\frac{1}{y}\ge -1,"-1\,y\le 1"
2,\left( \left( y\neq 0\right) \wedge \left( x\neq -2\right)\right) \wedge \left( x\neq -4\right),"y = \frac{1}{(x + 2)\,(x + 4)}","\frac{1}{y} = (x + 2)\,(x + 4)"
1,\textrm{wahr},"\sum_{ k = 1}^{n}\left(5\,k-2\right)","5-2 + 10-2 + 15-2 + ... + 5\,n-2"
2,\textrm{wahr},y > -6,"w = \big(-6,0\big) \cup \big(0,\infty \big)"
1,\textrm{wahr},"\sum_{ k = 1}^{n}\left(5\,k-2\right)","5-2 + 10-2 + ... + 5\,n-2"
2,\textrm{wahr},y + 2 + 4 = \left( x + 2\right)^{2},y + 6 = x^{2} + 4
2,\textrm{wahr},\begin{array}{r|rrrrrr}  & 2 & 2 & -1 & -3 & 1 & 1\\2 &  & 4 & 12 & 22 & 38 & 78\\ \hline  & 2 & 6 & 11 & 19 & 39 & 79\end{array},"p{\left(x\right)} = (x-2)\,(2\,x^{4} + 6\,x^{3} + 11\,x^{2} + 19\,x + 39) + 79"
1,\textrm{wahr},"4\,m\,(4\,m + 3\,q)-4\,q\,(-m + q)","16\,m^{2} + 12\,m\,q + 4\,q\,m-16\,q^{2}"
2,\textrm{wahr},"y = x^{2} + 8\,x + 4","y = \left( x + 2\,\sqrt{2} + 2\right)^{2}-4"
2,\textrm{wahr},"y = \left( x + 2\,\sqrt{2} + 2\right)^{2}-4",y = 0
2,\textrm{wahr},\left( y-2\ge 1\right) \wedge \left( y-2\le -1\right),\left( y\ge 3\right) \wedge \left( y\le -3\right)
1,\textrm{wahr},"-2\,t\,(-t + 2\,z) + 4\,z\,(3\,t-3\,z)","4\,t^{2}-4\,t\,z + 12\,z\,t-12\,z^{2}"
2,\textrm{wahr},"y-4 = x\,(x + 8)",y-12 = x^{2}
2,\textrm{wahr},"y-4 = x\,(x + 8)","y-4-8 = x\,x"
2,\textrm{wahr},"y-4 = x\,(x + 8)",y-12 = 0
1,\textrm{wahr},"5 \cdot 5-2\,i \cdot 5 + 5 \cdot 3\,i-2\,i \cdot 3\,i","25-31\,i"
1,\textrm{wahr},"5 \cdot 5-2\,i \cdot 5 + 5 \cdot 3\,i-2\,i \cdot 3\,i","25-10\,i + 15\,i-6\,i"
