category,assumptions,t0,t1
2,\left( x\neq 1\right) \wedge \left( x > 1\right),"\frac{6\,x + 7}{6\,x-6} > 4","6\,x + 7 > 6\,x + 10"
2,\left( x\neq 1\right) \wedge \left( x < -1\right),"\frac{6\,x + 7}{6\,x-6} > 4","6\,x + 7 > 6\,x + 10"
2,\textrm{wahr},"3\,h-2 < -h + x","4\,h < y + 2"
2,x\neq -1,"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 8 < 3\,x + 3"
2,\textrm{wahr},"-2\,x < 4-3\,z","x > -\frac{-4 + 3\,z}{2}"
2,\textrm{wahr},"-2\,x < 4-3\,z","x > \frac{3\,z}{2}"
2,\textrm{wahr},"-6\,q < 5\,h + 4","q > \frac{5\,h + 4}{6}"
2,\textrm{wahr},"-6\,q < 5\,h + 4","q > -\frac{5\,h-4}{6}"
2,\textrm{wahr},"-3\,l-1 < l-4\,m","4\,l-1 < -4\,m"
2,\textrm{wahr},"-3\,l-1 < l-4\,m","4\,l-1\le -4\,m"
2,\textrm{wahr},\left( x + \frac{4}{2}\right)^{2}-2 < 0,\left( x < \frac{-4 + \sqrt{4^{2}-4 \cdot 1 \cdot 2}}{2 \cdot 1}\right) \vee \left( x < \frac{-4-\sqrt{4^{2}-4 \cdot 1 \cdot 2}}{2 \cdot 1}\right)
2,\textrm{wahr},\left( x + \frac{4}{2}\right)^{2}-2 < 0,\left( x < \frac{-4 + \sqrt{16-8}}{2}\right) \vee \left( x < \frac{-4-\sqrt{16-8}}{2}\right)
2,\textrm{wahr},\left|x + \frac{4}{2}\right| ^{2} < +2,\left( \left|x + \frac{4}{2}\right|  < \sqrt{2}\right) \wedge \left( \left|x + \frac{4}{2}\right|  < -\sqrt{2}\right)
2,\textrm{wahr},\left( \left|x + \frac{4}{2}\right|  < \sqrt{2}\right) \vee \left( \left|x + \frac{4}{2}\right|  < -\sqrt{2}\right),\left( x < \sqrt{2}-2\right) \vee \left( x < -\sqrt{2}-2\right)
2,\textrm{wahr},"\left|8\,x + 8\right|  < 1",x + 2 < \frac{1}{8}
2,\textrm{wahr},"\left|8\,x + 8\right|  < 1",x-2 < \frac{1}{8}
2,\textrm{wahr},\left( \left|x + \frac{4}{2}\right|  < \sqrt{2}\right) \vee \left( \left|x + \frac{4}{2}\right|  < -\sqrt{2}\right),\left( x < \sqrt{2}-2\right) \vee \left( x < -\sqrt{2}-2\right)
2,\left( x\neq -1\right) \wedge \left( x > -1\right),"\frac{-3\,x + 2}{-5\,x-5} > 3","-3\,x + 2 > 3\,(-5\,x-5)"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"\frac{-3\,x + 2}{-5\,x-5} > 3","-3\,x + 2 < 3\,(-5\,x-5)"
2,\textrm{wahr},\left( \left|x + \frac{4}{2}\right|  < \sqrt{2}\right) \vee \left( \left|x + \frac{4}{2}\right|  < -\sqrt{2}\right),\left( x < \sqrt{2}-2\right) \vee \left( x < -\sqrt{2}-2\right)
2,\textrm{wahr},a < \frac{c + 2}{7},a < \frac{c}{2} + \frac{2}{7}
2,\left( x\neq -1.5\right) \wedge \left( x > \frac{6}{4}\right),"-2\,x-9 > 24\,x-36","-2\,x > 24\,x-45"
2,\left( x\neq -1.5\right) \wedge \left( x < \frac{6}{4}\right),"\frac{-2\,x-9}{4\,x + 6} > 6","-2\,x-9 < 24\,x-36"
2,\left( x\neq -1.5\right) \wedge \left( x < \frac{6}{4}\right),"-2\,x-9 < 24\,x-36","-2\,x < 24\,x-45"
2,\textrm{wahr},"x^{2} + 5\,x-3 > 0","x^{2} + 2 \cdot \frac{2}{5}\,x + \left( \frac{2}{5}\right)^{2}-\left( \frac{2}{5}\right)^{2}-3 > 0"
2,\textrm{wahr},\left( x + \frac{2}{5}\right)^{2}-\left( \frac{2}{5}\right)^{2}-3 > 0,\left( x + \frac{2}{5}\right)^{2}-8 > 0
2,\textrm{wahr},\left|x + \frac{2}{5}\right|  > \sqrt{8},\left( x + \frac{2}{5} > \sqrt{8}\right) \vee \left( x + \frac{2}{5} > -\sqrt{8}\right)
2,\textrm{wahr},\left|x + \frac{5}{2}\right|  > \sqrt{8},\left( x + \frac{5}{2} > \sqrt{8}\right) \vee \left( x + \frac{5}{2} > -\sqrt{8}\right)
2,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\left( \frac{5}{2}\right)^{2}-3 > 0,\left( x + \frac{5}{2}\right)^{2}-8 > 0
2,\textrm{wahr},\left|x + 3\right|  < 5,x + 3 < 5
2,\textrm{wahr},\left|x + 3\right|  < 5,-(x + 3) < 5
2,\left( x\neq -1.5\right) \wedge \left( x < \frac{6}{4}\right),"\frac{-2\,x-9}{4\,x + 6} > 6","-2\,x-9 < 24\,x-36"
2,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\left( \frac{5}{2}\right)^{2}-3 > 0,\left( x + \frac{5}{2}\right)^{2}-3 > 0
2,\textrm{wahr},\left|x + \frac{5}{2}\right|  > \sqrt{3},\left( x + \frac{5}{2} > \sqrt{3}\right) \vee \left( x + \frac{5}{2} > -\sqrt{3}\right)
2,\textrm{wahr},\left|x + 3\right|  < 5,x < 2
2,\textrm{wahr},\left|x + 3\right|  < 5,x + 3 > -5
2,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\left( \frac{5}{2}\right)^{2}-3 > 0,\left( x + \frac{5}{2}\right)^{2}-8 > 0
2,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-8 > 0,\left|x + \frac{5}{2}\right| ^{2}-3 > 0
2,\textrm{wahr},\left|x + \frac{5}{2}\right|  > \sqrt{3},\left( x + \frac{5}{2} > \sqrt{3}\right) \vee \left( x + \frac{5}{2} > -\sqrt{3}\right)
2,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\left( \frac{5}{2}\right)^{2}-3 > 0,\left( x + \frac{5}{2}\right)^{2}-\frac{13}{4} > 0
2,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\frac{13}{4} > 0,\left|x + \frac{5}{2}\right| ^{2}-3 > 0
2,\textrm{wahr},\left|x + \frac{5}{2}\right|  > \sqrt{3},\left( x + \frac{5}{2} > \sqrt{3}\right) \vee \left( x + \frac{5}{2} > -\sqrt{3}\right)
2,\textrm{wahr},"x^{2} + 5\,x + 2 < 0","x^{2} + 5\,x > 2"
2,\textrm{wahr},"x^{2} + 5\,x > 2","x^{2}-5\,x + \frac{5}{2} > 8.25"
2,\textrm{wahr},"x^{2}-5\,x + \frac{5}{2} > 8.25",\left( x-\frac{5}{2}\right)^{2} > 8.25
2,\textrm{wahr},\left|x-\frac{5}{2}\right|  > \frac{\sqrt{33}}{2},\left( x-\frac{5}{2} > \frac{\sqrt{33}}{2}\right) \wedge \left( x-\frac{5}{2} < \frac{\sqrt{33}}{2}\right)
