category,assumptions,t0,t1,0,1
2.0,\textrm{wahr},\left( \left|x + 6\right| -3 = 2\right) \vee \left( \left|x + 6\right| -3 = -2\right),\left( \left|x + 6\right|  = 5\right) \vee \left( \left|x + 6\right|  = -1\right),,
2.0,\textrm{wahr},"\left|4\,x + 5\right| \le 2",\left|x + \frac{5}{4}\right| \le \frac{5}{4},,
2.0,\textrm{wahr},\left|\left|x + 6\right| -3\right|  = 2,\left|x + 6\right| -3 = 2,,
2.0,\textrm{wahr},"x^{2} + 5\,x + \frac{25}{4}\ge \frac{9}{4}",x + \frac{5}{2}\ge \frac{9}{4},,
2.0,\textrm{wahr},x + \frac{5}{2}\ge \frac{9}{4},\left|x + \frac{5}{2}\right| \ge 1,,
2.0,\left( x\neq 1\right) \wedge \left( x > 1\right),"\frac{6\,x + 7}{6\,x-6} > 4","6\,x + 7 > 6\,x + 10",,
2.0,\left( x\neq 1\right) \wedge \left( x < -1\right),"\frac{6\,x + 7}{6\,x-6} > 4","6\,x + 7 > 6\,x + 10",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2-7\,x + 1 = 2",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"2\,x-2-7\,x + 1 = 2","-5\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-2\,x + 2-7\,x + 1 = 2",,
2.0,\textrm{wahr},"3\,h-2 < -h + x","4\,h < y + 2",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2 + -7\,x + 1 = 2",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"2\,x-2 + -7\,x + 1 = 2","-5\,x = -1",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2 + (7\,x-1)\,(-1) = 2",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"2\,x-2 + (7\,x-1)\,(-1) = 2","-5\,x = -1",,
2.0,x\neq -1,"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 8 < 3\,x + 3",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2-(7\,x-1) = 2",,
2.0,\left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right),"2\,x-2-(7\,x-1) = 2","-5\,x = -1",,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}\ge \frac{5}{4},\left|x + \frac{5}{2}\right| \ge 1.118,,
2.0,\textrm{wahr},"-2\,x < 4-3\,z","x > -\frac{-4 + 3\,z}{2}",,
2.0,\textrm{wahr},"-2\,x < 4-3\,z","x > \frac{3\,z}{2}",,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}\ge \frac{5}{4},\left|x + \frac{5}{2}\right| \ge 1,,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-2\,x + 2-7\,x + 1 = -2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-2\,x + 2-7\,x + 1 = -2","-9\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","(-1)\,(2\,x-2)-7\,x + 1 = 2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"(-1)\,(2\,x-2)\,(-1)\,(7\,x-1) = 2","-9\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","(-1)\,(2\,x-2)\,(-1)\,(7\,x-1) = 2",,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}\ge \frac{5}{4},x + \frac{5}{2}\ge 1,,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-2\,x-2-7\,x-1 = 2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-2\,x-2-7\,x-1 = 2","-9\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-2\,x + 2-7\,x-1 = 2","-9\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-2\,x + 2-7\,x-1 = 2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-2\,x + 2 + 7\,x-1 = 2","-9\,x = -1",,
2.0,a\neq \frac{1}{3},"x = \frac{-5-4}{-1 + 3\,a}","x = \frac{-9}{1 + 3\,a}",,
2.0,\textrm{wahr},"6\,y\ge -3\,z-1","y\ge -\frac{3}{6}\,c-\frac{1}{9}",,
2.0,\left( x\neq -1.8\right) \wedge \left( x < -\frac{9}{5}\right),"-3\,x + \frac{7}{-5\,x-9}\le 8","-3\,x + 7\le (-5\,x-9) \cdot 8",,
2.0,\left( x\neq -1.8\right) \wedge \left( x > -\frac{9}{5}\right),"-3\,x + \frac{7}{-5\,x-9}\le 8","-3\,x + 7\ge 8\,(-5\,x-9)",,
2.0,\textrm{wahr},"6\,y\ge -3\,z-1","y\ge -\frac{3}{6}\,z-\frac{1}{9}",,
2.0,\textrm{wahr},"-6\,q < 5\,h + 4","q > \frac{5\,h + 4}{6}",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-(2\,x-2)-(7\,x-1) = 2",,
2.0,\textrm{wahr},"-6\,q < 5\,h + 4","q > -\frac{5\,h-4}{6}",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-(2\,x-2)-(7\,x-1) = -2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-(2\,x-2)-(7\,x-1) = -2","-9\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","2\,x-2-7\,x + 1 = 2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"2\,x-2-7\,x + 1 = 2","-9\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"2\,x-2-7\,x + 1 = -2","-9\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-5\,x = -1",x = \frac{5}{9},,
2.0,\left( x\ge -\frac{6}{4}\right) \vee \left( x > 1\right),"\left|\left|4\,x + 6\right| -1\right|  = 5","4\,x + 6-1 = 5",,
2.0,\left( x < -\frac{6}{4}\right) \vee \left( x > 1\right),"\left|\left|4\,x + 6\right| -1\right|  = 5","-(4\,x + 6)-1 = 5",,
2.0,\left( x < -\frac{6}{4}\right) \vee \left( x > 1\right),"-4\,x = 12",x = \emptyset ,,
2.0,\left( x\ge -\frac{6}{4}\right) \vee \left( x < 1\right),"\left|\left|4\,x + 6\right| -1\right|  = 5","-(4\,x + 6-1) = 5",,
2.0,\left( x < -\frac{6}{4}\right) \vee \left( x < 1\right),"\left|\left|4\,x + 6\right| -1\right|  = 5","-(-(4\,x + 6)-1) = 5",,
2.0,\textrm{wahr},"-3\,l-1 < l-4\,m","4\,l-1 < -4\,m",,
2.0,\textrm{wahr},"-3\,l-1 < l-4\,m","4\,l-1\le -4\,m",,
2.0,\textrm{wahr},"4\,l\le -4\,m + 1","l < -\frac{4}{4}\,m + \frac{1}{4}",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x > \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-2\,x + 2-7\,x + 1 = -2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x > \frac{1}{7}\right),"-2\,x + 2-7\,x + 1 = -2","-5\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x > \frac{1}{7}\right),"\left|2\,x-2\right|  + \left|7\,x-1\right|  = 2","-2\,x + 2-7\,x + 1 = 2",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x > \frac{1}{7}\right),"-2\,x + 2-7\,x + 1 = 2","-5\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-2\,x + 2-7\,x + 1 = 2","-5\,x = -1",,
2.0,\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),"-2\,x-2-7\,x-1 = 2","-5\,x = -1",,
2.0,\textrm{wahr},\left( x + \frac{4}{2}\right)^{2}-2 < 0,\left( x < \frac{-4 + \sqrt{4^{2}-4 \cdot 1 \cdot 2}}{2 \cdot 1}\right) \vee \left( x < \frac{-4-\sqrt{4^{2}-4 \cdot 1 \cdot 2}}{2 \cdot 1}\right),,
2.0,\left( x\neq -1.8\right) \wedge \left( x > -\frac{9}{5}\right),"37\,x\ge -79",x > -\frac{9}{5},,
2.0,\textrm{wahr},\left( x + \frac{4}{2}\right)^{2}-2 < 0,\left( x < \frac{-4 + \sqrt{16-8}}{2}\right) \vee \left( x < \frac{-4-\sqrt{16-8}}{2}\right),,
2.0,\left( x\neq -1.8\right) \wedge \left( x > -\frac{9}{5}\right),"37\,x\ge -79",x > -\frac{79}{37},,
2.0,\textrm{wahr},\left|x + \frac{4}{2}\right| ^{2} < +2,\left( \left|x + \frac{4}{2}\right|  < \sqrt{2}\right) \wedge \left( \left|x + \frac{4}{2}\right|  < -\sqrt{2}\right),,
2.0,\textrm{wahr},\left( \left|x + \frac{4}{2}\right|  < \sqrt{2}\right) \vee \left( \left|x + \frac{4}{2}\right|  < -\sqrt{2}\right),\left( x < \sqrt{2}-2\right) \vee \left( x < -\sqrt{2}-2\right),,
2.0,\textrm{wahr},"\left|8\,x + 8\right|  < 1",x + 2 < \frac{1}{8},,
2.0,\textrm{wahr},"\left|8\,x + 8\right|  < 1",x-2 < \frac{1}{8},,
2.0,\textrm{wahr},"\sqrt{-x + 2} = 4\,x-3","-x + 2 = 16^{2}-24\,x + 9",,
2.0,\textrm{wahr},"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",,
2.0,\left( x\neq -1\right) \wedge \left( x > -1\right),"\frac{-3\,x + 2}{-5\,x-5} > 3","-3\,x + 2 > 3\,(-5\,x-5)",,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"\frac{-3\,x + 2}{-5\,x-5} > 3","-3\,x + 2 < 3\,(-5\,x-5)",,
2.0,\textrm{wahr},a < \frac{c + 2}{7},a < \frac{c}{2} + \frac{2}{7},,
2.0,\left( x\neq -1.5\right) \wedge \left( x > \frac{6}{4}\right),"-2\,x-9 > 24\,x-36","-2\,x > 24\,x-45",,
2.0,\left( x\neq -1.5\right) \wedge \left( x < \frac{6}{4}\right),"\frac{-2\,x-9}{4\,x + 6} > 6","-2\,x-9 < 24\,x-36",,
2.0,\left( x\neq -1.5\right) \wedge \left( x < \frac{6}{4}\right),"-2\,x-9 < 24\,x-36","-2\,x < 24\,x-45",,
2.0,\textrm{wahr},"-x + 2 = 16^{2}-24\,x + 9","16\,x^{2}-7\,x-16\,x + 7 = 0",,
2.0,\textrm{wahr},"\left|4\,x + 5\right|  + \left|6\,x + 5\right|  = 7","4\,x + 5 + \left(-(6\,x + 5)\right) = 7",,
2.0,\textrm{wahr},"\left|4\,x + 5\right|  + \left|6\,x + 5\right|  = 7","-(4\,x + 5)-(6\,x + 5) = 7",,
2.0,x\ge -\frac{5}{6},"-1.25 \cdot 0.83\,\left|4\,x + 5\right|  + \left|6\,x + 5\right|  = 7","-(4\,x + 5) + 6\,x + 5 = 7",,
2.0,x < -\frac{5}{6},"\left|4\,x + 5\right|  + \left|6\,x + 5\right|  = 7","-(4\,x + 5)-(6\,x + 5) = 7",,
2.0,\textrm{wahr},"\left|\left|4\,x-2\right| -2\right|  = 3","\left|4\,x-2-2\right|  = 3",,
