category,assumptions,t0,t1
1,\textrm{wahr},"(2\,x + 4)\,(2\,x-4)","4\,x-16"
1,\textrm{wahr},"(3\,n-4\,k)\,(3\,n + 4\,k)","9\,n^{2}-16\,k"
1,\textrm{wahr},"-4\,l\,b + \frac{4\,b^{2}}{b^{2}-l\,b}","\frac{4\,(b^{2}-l\,b)}{b^{2}-l\,b}"
1,\textrm{wahr},"-\frac{4\,l\,b}{b^{2}-l\,b} + \frac{4\,b^{2}}{b^{2}-l\,b}","-4\,l\,b + \frac{4\,b^{2}}{b^{2}-l\,b}"
1,\textrm{wahr},"\frac{\frac{\left( u + g\right)^{2}}{u-g}-(u-g)}{2\,g}","\frac{\frac{\left( u + g\right)^{2}-2\,(u-g)}{u-g}}{2\,g}"
1,\textrm{wahr},"\frac{\frac{\left( u + g\right)^{2}-\left( u-g\right)^{2}}{u-g}}{2\,g}","\frac{\left( u + g\right)^{2}-2\,(u-g)}{2\,g\,(u-g)}"
1,\textrm{wahr},"\frac{\left( u + g\right)^{2}-\left( u-g\right)^{2}}{2\,g\,(u-g)}","\frac{u^{2} + 2\,g\,u + g^{2}-2\,u + 2\,g}{2\,g\,u-2\,g^{2}}"
2,\left( h\neq y\right) \wedge \left( q\neq 1\right),"q\,(h-y) = h + y","q\,h-g\,y = h + y"
2,\left( h\neq y\right) \wedge \left( q\neq 1\right),"-q\,y-y = h\,(1-q)","-q\,y-\frac{y}{1-q} = h"
1,\textrm{wahr},"98\,t + 10\,w","2 \cdot (49 + 10\,w)"
1,\textrm{wahr},"98\,t + 10\,w","2\,(49\,t + 10\,w)"
2,\textrm{wahr},"x^{2} + x-3 = 4\,x^{2}-12\,x + 9","-3\,x^{2} + 13\,x + 6 = 0"
1,\textrm{wahr},"3 \cdot 5 + 3 \cdot 4\,i-4\,i \cdot 5-4\,i \cdot 4\,i","15-12\,i-20\,i-16\,i^{2}"
1,\textrm{wahr},"15-12\,i-20\,i-16\,i^{2}","15-8\,i-16\,i^{2}"
1,\textrm{wahr},"15-12\,i-20\,i-16\,i^{2}","15-8\,i-16\,i^{2}"
1,\textrm{wahr},"3 \cdot 5 + 3 \cdot 4\,i-4\,i \cdot 5-4\,i \cdot 4\,i","15-12\,i-20\,i-16\,i^{2}"
1,\textrm{wahr},"u^{2}-4\,u-1\,u + 4","u \cdot 2-5\,u + 4"
1,\textrm{wahr},"\frac{4-4\,i}{3 + i}\,\frac{3-i}{3-i}","\frac{8-13\,i}{10}"
1,\textrm{wahr},"-3\,d\,(-d-4\,t) + 3\,t\,(-d + 3\,t)","3\,d^{2} + 12\,d\,t-3\,d\,t + 9\,t^{3}"
