,expression 1,expression 2,similarity score structural,best match structural,similarity score jaccard,best match jaccard,similarity score cosine,best match cosine,similarity score enhanced,best match enhanced,total rearrangements
0,-4*s + 2=4*s - r,2=-r,0.7297708265450201,"Eq(2, -r + 8*s)",0.75,"Eq(-r + 8*s, 2)",0.984444701921556,"Eq(2 - 8*s, -r)",0.36,"Eq(-r + 8*s, 2)",64
1,-2 - 3=b + 3,-3*b=6,0.8654986522911052,"Eq(-b, 8)",0.75,"Eq(-b - 3, 2 + 3)",0.9806591638559545,"Eq(2, -b - 1*3 - 3)",0.43,"Eq(-b, 8)",88
2,-8*s=-r - 2,-8*s=-2*r,0.823182808476926,"Eq(-r - 2, -8*s)",0.9166666666666666,"Eq(-r + 8*s, 2)",0.99637780066452,"Eq(2 - 8*s, -r)",0.41,"Eq(-r - 2, -8*s)",56
3,-4*c=-w/2 - 2,c=w/2 - 1/2,0.8284933005195515,"Eq(c, -1/4*(-w)/2 + 1/2)",0.9230769230769231,"Eq(-1*(-w)/2, 4*c - 2)",0.9968834043867341,"Eq(2 - 4*c, -w/2)",0.41,"Eq(c, -1/4*(-w)/2 + 1/2)",86
4,-4*n - 3=3*n - y,-3=-1*n - y,0.9045287637698899,"Eq(-3, 7*n - y)",0.9166666666666666,"Eq(4*n + 3, -3*n + y)",0.9956483626598778,"Eq(-7*n - 3, -y)",0.45,"Eq(-3, 7*n - y)",128
5,3*c + 1=-c + m,c=(m + 1)/4,0.7899263559640918,"Eq(c, m/4 - 1/4)",0.9166666666666666,"Eq(1 - m, -4*c)",0.9954496296660429,"Eq(-4*c + m, 1)",0.39,"Eq(c, -3*c + m - 1)",122
6,3*c + 1=-c + m,4 + 1=m,0.8107164541590771,"Eq(4*c + 1, m)",0.8,"Eq(4*c + 1, m)",0.9796354154830745,"Eq(-4*c + m, 1)",0.41,"Eq(4*c + 1, m)",122
7,4=3*d + 4*v,o=3*d - 4 + 4*v,0.7305613403790122,"Eq(1 - 3*d/4, v)",0.9230769230769231,"Eq(-3*d, 4*v - 4)",0.9950456808558962,"Eq(4 - 3*d, 4*v)",0.37,"Eq(1 - 3*d/4, v)",48
8,o=3*d + 4*v - 4,-4*v=3*d - 4,0.941749723145072,"Eq(-4*v, 3*d - o - 4)",0.9230769230769231,"Eq(-o, -3*d - 4*v + 4)",0.9966765711988008,"Eq(-o, -3*d - 4*v + 4)",0.47,"Eq(-4*v, 3*d - o - 4)",124
9,r - 4=12,r - 4=-sqrt(12),0.6533459572808283,"Eq(12 - r, -1*4)",0.7857142857142857,"Eq(4 - r, -12)",0.9773175029953824,"Eq(12 - r, -1*4)",0.33,"Eq(12 - r, -1*4)",56
10,x + 4=-x - 5*o,0=4 + 5*o,0.8362604412079676,"Eq(0, 5*o + x + x + 4)",0.9090909090909091,"Eq(5*o + x + x + 4, 0)",0.9898507573886921,"Eq(5*o + 2*x + 4, 0)",0.42,"Eq(0, 5*o + x + x + 4)",84
11,8*c=5 - p,c=1.6 - p,0.7581444649503654,"Eq(p, 5.0 - 8.0*c)",0.6666666666666666,"Eq(8.0*c - 5.0, -p)",0.9501461875826152,"Eq(-5.0, -8.0*c - p)",0.38,"Eq(p, 5.0 - 8.0*c)",48
12,-5*c + 5=3*c + p,-8*c=-5*p,0.8349002217294901,"Eq(-5*c, 3*c + p - 5)",0.9166666666666666,"Eq(8*c - 5, -p)",0.9950258883125819,"Eq(-8*c - p, -5)",0.42,"Eq(-5*c, 3*c + p - 5)",124
13,b - 3/2=3/2,b - 3/2=-sqrt(3/2),0.6788931788931789,"Eq(3/2, b - 3/2)",0.8,"Eq(-b + 3/2, -3/2)",0.9920919231480444,"Eq(3/2, b - 3/2)",0.34,"Eq(3/2, b - 3/2)",52
14,2*p=-5 - q,p=-2,0.6409875993719323,"Eq(2*p + q, -5)",0.6363636363636364,"Eq(-5, 2*p + q)",0.9290736277608769,"Eq(q, -2*p - 5)",0.32,"Eq(2*p + q, -5)",48
15,2*p=-9*r - 5,p=-9/2 - 5/2,0.6231990231990232,"Eq(-9*r/2 - 5/2, p)",0.8571428571428571,"Eq(-9*r, 2*p + 5)",0.9882397872975099,"Eq(0, -2*p - 9*r - 5)",0.31,"Eq(-9*r/2 - 5/2, p)",60
16,-8*s=-r - 2,4*s=r/2,0.8151992344080844,"Eq(-r, 2 - 8*s)",0.7142857142857143,"Eq(-r + 8*s, 2)",0.986842105263158,"Eq(-r + 8*s, 2)",0.41,"Eq(-r, 2 - 8*s)",56
17,r*(2 - 3)=0,r=0,0.8547008547008547,"Eq(r + 0, 0)",1.0,"Eq(0, r)",1.0000000000000002,"Eq(0, r)",0.43,"Eq(r + 0, 0)",19
18,3*r + 2=2*x,1.5*r=x,0.8413340366918703,"Eq(1.5*r + 1.0, x)",0.7142857142857143,"Eq(x, 1.5*r + 1.0)",0.9441746010034178,"Eq(x, 1.5*r + 1.0)",0.42,"Eq(1.5*r + 1.0, x)",56
19,2*m + 5=0,3*m + 5=0,0.9851851851851853,"Eq(2*m + 5, 0)",0.8181818181818182,"Eq(2*m + 0 + 5, 0)",0.9886363636363638,"Eq(0, 2*m + 5)",0.49,"Eq(2*m + 5, 0)",40
